path,ext,bytes,loc_if_code
src/components/common/FeatureUsageLogger.jsx,.jsx,206,11
src/components/common/FeedbackPrompt.jsx,.jsx,1800,49
src/components/common/FileUploader.jsx,.jsx,895,42
src/components/common/LanguageSwitcher.jsx,.jsx,562,20
src/components/common/LivePreviewRenderer.jsx,.jsx,393,19
src/components/common/LoginButton.jsx,.jsx,258,10
src/components/common/LoginButton.original.jsx,.jsx,169,8
src/components/common/MobileNotificationButton.jsx,.jsx,548,20
src/components/common/NotificationBell.jsx,.jsx,1163,38
src/components/common/SplitTestWrapper.jsx,.jsx,384,15
src/components/common/StatusIndicator.jsx,.jsx,473,19
src/components/common/SystemStatusWidget.jsx,.jsx,563,23
src/components/common/ThemeVersionManager.jsx,.jsx,650,24
src/components/common/UndoRedoToolbar.jsx,.jsx,416,15
src/components/common/WalkthroughModal.jsx,.jsx,673,22
src/components/dashboard/RecommendedAssetsPanel.jsx,.jsx,1155,38
src/components/dev/DevConsole.jsx,.jsx,2711,81
src/components/Document/DocumentSignaturePanel.tsx,.tsx,1775,59
src/components/Export/ExportButtonGroup.jsx,.jsx,681,26
src/components/Export/ExportDataPanel.jsx,.jsx,1020,36
src/components/Export/ExportPanel.tsx,.tsx,596,22
src/components/Forms/DateRangePickerWithAvailability.jsx,.jsx,2189,67
src/components/home/NeedHelpStarter.jsx,.jsx,677,21
src/components/Inbox/InboxMessageCard.tsx,.tsx,2046,85
src/components/insights/PopularSearchInsights.jsx,.jsx,850,28
src/components/Invoice/InvoicePreview.jsx,.jsx,1368,39
src/components/layouts/ClientLayout.jsx,.jsx,494,21
src/components/layouts/ProviderLayout.jsx,.jsx,498,21
src/components/LiveTextCMS/LangSelector.jsx,.jsx,542,20
src/components/LiveTextCMS/LiveTextDebugger.jsx,.jsx,762,24
src/components/LiveTextCMS/LiveTextEditorWithAI.jsx,.jsx,1380,49
src/components/LiveTextCMS/LiveTextProvider.jsx,.jsx,1053,41
src/components/LiveTextCMS/README_INSERT.txt,.txt,0,
src/components/LiveTextCMS/TextCMSPanel.jsx,.jsx,92,5
src/components/LiveTextCMS/useLiveText.js,.js,923,31
src/components/messages/BulkMessageModal.jsx,.jsx,178,12
src/components/messages/MessageButtonBar.jsx,.jsx,3430,95
src/components/messages/MessageItem.jsx,.jsx,2129,64
src/components/messages/MessagesPanel.jsx,.jsx,1566,52
src/components/messages/ProviderInbox.jsx,.jsx,1189,31
src/components/OfferComponents/AdvancedFilterBar_audienceFilter_patch.jsx,.jsx,751,17
src/components/OfferComponents/OfferCard_audienceBadge_patch.jsx,.jsx,465,14
src/components/OfferComponents/OfferForm_audienceType_patch.jsx,.jsx,712,17
src/components/OfferComponents/README_INSERT.txt,.txt,0,
src/components/OfferDetails/OfferGallery.jsx,.jsx,1636,58
src/components/OfferDetails/OfferSpecsList.jsx,.jsx,2723,83
src/components/Offers/MapRadiusModal.jsx,.jsx,1392,42
src/components/Offers/offer.constants.ts,.ts,860,18
src/components/Offers/OfferMetaFields.tsx,.tsx,2844,97
src/components/Offers/OffersGrid.jsx,.jsx,2142,66
src/components/Offers/ShowOnMapButton.jsx,.jsx,1120,39
src/components/Offers/SortDropdown.tsx,.tsx,2012,61
src/components/onboarding/Coachmark.jsx,.jsx,3657,102
src/components/onboarding/HintTrigger.tsx,.tsx,948,28
src/components/onboarding/OnboardingWizard.jsx,.jsx,1480,44
src/components/onboarding/Step1Plan.jsx,.jsx,952,26
src/components/onboarding/Step2Company.jsx,.jsx,953,26
src/components/onboarding/Step3Branding.jsx,.jsx,1565,43
src/components/onboarding/Step4Preferences.jsx,.jsx,1486,41
src/components/onboarding/Step5Summary.jsx,.jsx,2497,70
src/components/onboarding/WalkthroughModal.jsx,.jsx,3312,90
src/components/patched/DashboardHeader_liveText_patch.jsx,.jsx,839,21
src/components/patched/OfferCard_liveText_patch.jsx,.jsx,801,22
src/components/patched/PlansPage_liveText_patch.jsx,.jsx,918,22
src/components/patched/TopSearchBar_liveText_patch.jsx,.jsx,1045,25
src/components/pricing/PriceSuggestionPanel.jsx,.jsx,2294,59
src/components/reservations/ReservationForm.jsx,.jsx,5288,145
src/components/reservations/ReservationModal.jsx,.jsx,2015,57
src/components/routing/ProtectedRoute.jsx,.jsx,935,35
src/components/search/SmartSearchInput.jsx,.jsx,1523,54
src/components/Signature/SignatureMethodSelector.tsx,.tsx,1795,54
src/components/Signature/SignatureStatusTag.tsx,.tsx,1438,43
src/components/system/SystemStatusWidget.tsx,.tsx,3304,96
src/components/system/TopbarCounter.jsx,.jsx,3505,112
src/components/theme/ImportThemeFromURL.jsx,.jsx,1075,38
src/components/theme/LivePreviewRenderer.jsx,.jsx,654,22
src/components/theme/LiveThemePreviewSandbox.jsx,.jsx,690,22
src/components/theme/PresetSelector.jsx,.jsx,941,44
src/components/theme/SectionReorderPanel.jsx,.jsx,1193,36
src/components/theme/ThemeDesigner.jsx,.jsx,519,16
src/components/theme/ThemeEditorPanel.jsx,.jsx,2314,86
src/components/theme/ThemePropEditor.jsx,.jsx,825,32
src/components/theme/ThemeSettingsPanel.jsx,.jsx,1100,36
src/components/theme/ThemeVersionManager.jsx,.jsx,379,17
src/components/ui/BrandingPreview.jsx,.jsx,811,29
src/components/ui/button.jsx,.jsx,687,28
src/components/ui/CalloutBox.jsx,.jsx,663,27
src/components/ui/card.jsx,.jsx,428,20
src/components/ui/dialog.jsx,.jsx,3127,116
src/components/ui/DocumentUploader.jsx,.jsx,644,30
src/components/ui/FeatureList.jsx,.jsx,469,19
src/components/ui/input.jsx,.jsx,1146,40
src/components/ui/InvoiceStatusTag.jsx,.jsx,1551,44
src/components/ui/Label.jsx,.jsx,981,35
src/components/ui/RoleTag.jsx,.jsx,1310,48
src/components/ui/table.jsx,.jsx,985,40
src/components/ui/textarea.jsx,.jsx,2779,90
src/components/ui/TextBlock.jsx,.jsx,372,17
src/components/ui/ThemeSwitcher.jsx,.jsx,1067,32
src/config/abTestConfig.json,.json,89,
src/config/onboardingConfig.json,.json,391,
src/constants/offer.constants.ts,.ts,1127,22
src/context/ActionHistoryContext.jsx,.jsx,1679,61
src/context/AdminContext.jsx,.jsx,1761,57
src/context/AuthContext.jsx,.jsx,1559,54
src/context/DemoModeProvider.tsx,.tsx,1379,45
src/context/LiveTextContext.jsx,.jsx,3551,109
src/context/LocaleContext.jsx,.jsx,1488,48
src/context/ThemeContext.jsx,.jsx,2163,72
src/core/system/AlertTriggerEngine.js,.js,4772,152
src/core/system/BusinessRuleEngine.js,.js,4844,161
src/core/system/SystemStatusWidget.jsx,.jsx,1757,55
src/data/categories.js,.js,2302,43
src/data/demoOffers.js,.js,3678,174
src/data/offersMock.js,.js,1366,61
src/filters/SavedFilterBar.jsx,.jsx,2029,56
src/hooks/useAISuggestion.ts,.ts,2173,72
src/hooks/useAlerts.ts,.ts,1881,61
src/hooks/useAlertScan.js,.js,962,35
src/hooks/useAlertScanner.ts,.ts,1506,52
src/hooks/useAnalytics.ts,.ts,1478,58
src/hooks/useAuditTrail.js,.js,988,39
src/hooks/useBranding.js,.js,663,27
src/hooks/useCsvValidator.js,.js,7911,289
src/hooks/useExperiment.ts,.ts,1417,55
src/hooks/useExport.js,.js,1604,56
src/hooks/useExport.ts,.ts,1038,31
src/hooks/useFavorites.js,.js,1220,41
src/hooks/useFeatureUsage.ts,.ts,2136,79
src/hooks/useFilters.js,.js,3353,122
src/hooks/useFirmAnalytics.js,.js,1634,56
src/hooks/useInboxTools.ts,.ts,1086,27
src/hooks/useIsMobile.js,.js,875,28
src/hooks/useLiveTheme.js,.js,192,6
src/hooks/useLocationSearch.js,.js,462,20
src/hooks/useMessages.js,.js,4492,144
src/hooks/useNotifications.js,.js,1509,52
src/hooks/useOfferSort.ts,.ts,2045,61
src/hooks/useOnboarding.js,.js,1069,40
src/hooks/useOnboarding.ts,.ts,1228,48
src/hooks/usePlanAccess.js,.js,713,21
src/hooks/useSystemStatus.js,.js,2338,85
src/hooks/useTheme.js,.js,824,33
src/hooks/useTranslate.js,.js,889,30
src/hooks/useTwoFactor.js,.js,1908,65
src/hooks/useUndoRedo.js,.js,898,28
src/hooks/useUserPlan.js,.js,485,19
src/i18n/i18n.js,.js,432,19
src/i18n/locales/en.json,.json,86,
src/i18n/locales/pl.json,.json,357,
src/lib/httpInterceptor.js,.js,1554,54
src/lib/utils.ts,.ts,750,21
src/locales/translations.json,.json,86,
src/modules/alerts.model.js,.js,377,18
src/modules/contract/ContractArchiveTable.jsx,.jsx,7896,210
src/modules/contract/ContractWidget.jsx,.jsx,2890,92
src/modules/contract/SignatureConfirmation.jsx,.jsx,1967,57
src/pages/AddOffer.jsx,.jsx,14697,450
src/pages/AdminPanel.jsx,.jsx,1912,58
src/pages/Auth.jsx,.jsx,10057,296
src/pages/CompanyProfile.jsx,.jsx,3607,100
src/pages/CompanyPublicPage.jsx,.jsx,4534,147
src/pages/Dashboard_old_not_in_use.jsx,.jsx,2049,77
src/pages/EditProfile.jsx,.jsx,6421,188
src/pages/Favorites.jsx,.jsx,4122,116
src/pages/FilterOffers.jsx,.jsx,4313,114
src/pages/HelpCenter.jsx,.jsx,2390,72
src/pages/Home.jsx,.jsx,5368,164
src/pages/InboxView.jsx,.jsx,6220,164
src/pages/Landing.jsx,.jsx,6477,190
src/pages/Login.jsx,.jsx,6464,181
src/pages/MapView.jsx,.jsx,13754,396
src/pages/Messages.jsx,.jsx,2427,68
src/pages/NotFound.jsx,.jsx,1655,53
src/pages/Offers.jsx,.jsx,2934,80
src/pages/OnboardingPath.jsx,.jsx,9168,251
src/pages/PlansPage.jsx,.jsx,3787,98
src/pages/ProviderDashboard.jsx,.jsx,1650,47
src/pages/Rating.jsx,.jsx,3189,96
src/pages/Register.jsx,.jsx,6696,198
src/pages/ResetPassword.jsx,.jsx,4293,134
src/pages/Stats.jsx,.jsx,11018,346
